hotel,city,postcode,housenumber,street,state,address1,address2
"The Beekman, A Thompson Hotel",New York,10038,123,Nassau Street,New York,"The Beekman, A Thompson Hotel","123 Nassau Street, New York, NY 10038, United States of America"
Aloft Manhattan Downtown,New York,10038,49,Ann Street,New York,Aloft Manhattan Downtown,"49 Ann Street, New York, NY 10038, United States of America"
Duane Street Hotel,New York,10013,182,Duane Street,New York,Duane Street Hotel,"182 Duane Street, New York, NY 10013, United States of America"
Millenium Hilton,New York,10013,55,Church Street,New York,Millenium Hilton,"55 Church Street, New York, NY 10013, United States of America"
The Frederick Hotel,New York,10007,N/A,Chambers Street,New York,The Frederick Hotel,"Chambers Street, New York, NY 10007, United States of America"
Holiday Inn,New York,10038,51,Nassau Street,New York,Holiday Inn,"51 Nassau Street, New York, NY 10038, United States of America"
Hampton Inn Manhattan-Seaport-Financial District,New York,10038,320,Pearl Street,New York,Hampton Inn Manhattan-Seaport-Financial District,"320 Pearl Street, New York, NY 10038, United States of America"
Four Points by Sheraton,New York,10038,6,Platt Street,New York,Four Points by Sheraton,"6 Platt Street, New York, NY 10038, United States of America"
Four Points by Sheraton,New York,10038,6,Platt Street,New York,Four Points by Sheraton,"6 Platt Street, New York, NY 10038, United States of America"
Courtyard New York Downtown Financial District,New York,10038,215,Pearl Street,New York,Courtyard New York Downtown Financial District,"215 Pearl Street, New York, NY 10038, United States of America"
Mulberry Hotel,New York,10013,52,Mulberry Street,New York,Mulberry Hotel,"52 Mulberry Street, New York, NY 10013, United States of America"
33 Seaport Hotel,New York,10038,33,Peck Slip,New York,33 Seaport Hotel,"33 Peck Slip, New York, NY 10038, United States of America"
N/A,New York,10006,133,Greenwich Street,New York,133 Greenwich Street,"New York, NY 10006, United States of America"
Walker Hotel Tribeca,New York,10013,77,Walker Street,New York,Walker Hotel Tribeca,"77 Walker Street, New York, NY 10013, United States of America"
Roxy Hotel,New York,10013,2,6th Avenue,New York,Roxy Hotel,"2 6th Avenue, New York, NY 10013, United States of America"
Radisson Hotel New York Wall Street,New York,10005,52,William Street,New York,Radisson Hotel New York Wall Street,"52 William Street, New York, NY 10005, United States of America"
Q&A Residential Hotel,New York,10005,70,Pine Street,New York,Q&A Residential Hotel,"70 Pine Street, New York, NY 10005, United States of America"
78-80 Mulberry Street,New York,10012,N/A,Mulberry Street,New York,78-80 Mulberry Street,"Mulberry Street, New York, NY 10012, United States of America"
"Club Quarters, World Trade Center",New York,10006,140,Washington Street,New York,"Club Quarters, World Trade Center","140 Washington Street, New York, NY 10006, United States of America"
Club Quarters World Trade,New York,10006,120,Cedar Street,New York,"Club Quarters Hotel,  World Trade Center","120 Cedar Street, New York, NY 10006, United States of America"
W Downtown,New York,10006,8,Albany Street,New York,W Downtown,"8 Albany Street, New York, NY 10006, United States of America"
N/A,New York,10005,60,Wall Street,New York,60 Wall Street,"New York, NY 10005, United States of America"
Fairfield Inn,New York,10038,161,Front Street,New York,Fairfield Inn,"161 Front Street, New York, NY 10038, United States of America"
Marriott Downtown,New York,10006,85,West Street,New York,Marriott Downtown,"85 West Street, New York, NY 10006, United States of America"
Soho Garden Hotel,New York,10013,276,Canal Street,New York,Soho Garden Hotel,"276 Canal Street, New York, NY 10013, United States of America"
AC Hotel NYC Downtown,New York,10038,151,Maiden Lane,New York,AC Hotel NYC Downtown,"151 Maiden Lane, New York, NY 10038, United States of America"
Holiday Inn Express,New York,10005,126,Water Street,New York,Holiday Inn Express,"126 Water Street, New York, NY 10005, United States of America"
Hotel Indigo,New York,10005,120,Water Street,New York,Hotel Indigo,"120 Water Street, New York, NY 10005, United States of America"
City Rooms NYC Soho,New York,10013,120,Lafayette Street,New York,City Rooms NYC Soho,"120 Lafayette Street, New York, NY 10013, United States of America"
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,New York,10006,100,Greenwich Street,New York,Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,"100 Greenwich Street, New York, NY 10006, United States of America"
N/A,New York,10006,50,Trinity Place,New York,50 Trinity Place,"New York, NY 10006, United States of America"
The Wall Street Hotel,New York,10005,88,Wall Street,New York,The Wall Street Hotel,"88 Wall Street, New York, NY 10005, United States of America"
Hotel 50 Bowery,New York,10013,50,Bowery,New York,Hotel 50 Bowery,"50 Bowery, New York, NY 10013, United States of America"
Holiday Inn Manhattan,New York,10006,99,Washington Street,New York,Holiday Inn Manhattan,"99 Washington Street, New York, NY 10006, United States of America"
Eurostars Wall Street Hotel,New York,10005,129,Front Street,New York,Eurostars Wall Street Hotel,"129 Front Street, New York, NY 10005, United States of America"
Conrad New York Downtown,New York,10282,102,North End Avenue,New York,Conrad New York Downtown,"102 North End Avenue, New York, NY 10282, United States of America"
Hyatt Centric,New York,10005,75,Wall Street,New York,Hyatt Centric,"75 Wall Street, New York, NY 10005, United States of America"
Hilton Garden Inn Tribeca,New York,10013,39,6th Avenue,New York,Hilton Garden Inn Tribeca,"39 6th Avenue, New York, NY 10013, United States of America"
WeLive,New York,10005,110,Wall Street,New York,WeLive,"110 Wall Street, New York, NY 10005, United States of America"
Sheraton,New York,10013,N/A,Canal Street,New York,Sheraton,"Canal Street, New York, NY 10013, United States of America"
NoMo SoHo,New York,10013,9,Crosby Street,New York,NoMo SoHo,"9 Crosby Street, New York, NY 10013, United States of America"
Wall Street Inn,New York,10004,9,South William Street,New York,Wall Street Inn,"9 South William Street, New York, NY 10004, United States of America"
the Humphrey loft,New York,10002,456,Water Street,New York,the Humphrey loft,"456 Water Street, New York, NY 10002, United States of America"
Leon Hotel,New York,10002,125,Canal Street,New York,Leon Hotel,"125 Canal Street, New York, NY 10002, United States of America"
The SoLita SoHo Hotel,New York,10013,159,Grand Street,New York,The SoLita SoHo Hotel,"159 Grand Street, New York, NY 10013, United States of America"
Manhattan Bowery Lodge,New York,10002,81,Bowery,New York,Manhattan Bowery Lodge,"81 Bowery, New York, NY 10002, United States of America"
Hotel MB,New York,10002,N/A,Chrystie Street,New York,Hotel MB,"Chrystie Street, New York, NY 10002, United States of America"
Wyndham Garden Chinatown,New York,10002,93,Bowery,New York,Wyndham Garden Chinatown,"93 Bowery, New York, NY 10002, United States of America"
Soho Grand Hotel,New York,10013,310,West Broadway,New York,SoHo Grand Hotel,"310 West Broadway, New York, NY 10013, United States of America"
Liberty View Suites,New York,10280,99,Battery Place,New York,Liberty View Suites,"99 Battery Place, New York, NY 10280, United States of America"
Canal Loft Hotel,New York,10002,94,Canal Street,New York,Canal Loft Hotel,"94 Canal Street, New York, NY 10002, United States of America"
Hotel91,New York,10002,91,East Broadway,New York,Hotel91,"91 East Broadway, New York, NY 10002, United States of America"
NobleDen,New York,10013,196,Grand Street,New York,NobleDen,"196 Grand Street, New York, NY 10013, United States of America"
World Hotel,New York,10012,101,Bowery,New York,World Hotel,"101 Bowery, New York, NY 10012, United States of America"
U.S. Pacific Hotel,New York,10013,106,Bowery,New York,U.S. Pacific Hotel,"106 Bowery, New York, NY 10013, United States of America"
Fairfield Inn & Suites Manhattan Downtown East,New York,10002,95,Henry Street,New York,Fairfield Inn & Suites Manhattan Downtown East,"95 Henry Street, New York, NY 10002, United States of America"
Hotel Richland,New York,10002,5,Allen Street,New York,Hotel Richland,"5 Allen Street, New York, NY 10002, United States of America"
The James New York - SoHo,New York,10013,27,Grand Street,New York,The James New York - SoHo,"27 Grand Street, New York, NY 10013, United States of America"
DoubleTree by Hilton New York Downtown,New York,10004,8,Stone Street,New York,DoubleTree by Hilton New York Downtown,"8 Stone Street, New York, NY 10004, United States of America"
